,Date,JPM,SPY,IC
0,2020-01-02,122.85289,303.135559,0.8774853268794138
1,2020-01-03,121.231644,300.840179,0.9117348017955272
2,2020-01-06,121.135254,301.987946,0.9175051724762802
3,2020-01-07,119.075867,301.138763,0.9305112279367935
4,2020-01-08,120.004799,302.743713,0.936663361882884
5,2020-01-09,120.442978,304.796509,0.9575620980175195
6,2020-01-10,119.242386,303.919342,0.9618972961043967
7,2020-01-13,120.232651,306.009521,0.970113269072623
8,2020-01-14,121.634758,305.542999,0.973630554761873
9,2020-01-15,119.812012,306.233582,0.9734020094716284
10,2020-01-16,120.276459,308.780853,0.9739743198807275
11,2020-01-17,121.108955,309.741943,0.9754367133612363
12,2020-01-21,119.917168,309.135437,0.9787129408460767
13,2020-01-22,119.776909,309.172668,0.9806903001299904
14,2020-01-23,119.654266,309.527313,0.9813435649557478
15,2020-01-24,116.683495,306.774597,0.9827286384122297
16,2020-01-27,115.702003,301.857269,0.9834737943179054
17,2020-01-28,117.805191,305.020477,0.9838502273136117
18,2020-01-29,117.629929,304.768494,0.9840372081068325
19,2020-01-30,119.084633,305.757538,0.9843846471658808
20,2020-01-31,115.991211,300.205688,0.9843588696014873
21,2020-02-03,116.876289,302.435822,0.984225664226196
22,2020-02-04,118.558815,307.045258,0.9844484134103715
23,2020-02-05,120.574409,310.591064,0.9842923569731463
24,2020-02-06,120.591942,311.636108,0.9840086676396301
25,2020-02-07,120.206345,309.975189,0.9821364746382935
26,2020-02-10,120.705856,312.289307,0.9806783448117352
27,2020-02-11,120.933731,312.830505,0.9783002989919755
28,2020-02-12,120.933731,314.845978,0.977127786609824
29,2020-02-13,120.828545,314.510101,0.9750535461794176
30,2020-02-14,120.460495,315.013947,0.9686745079958781
31,2020-02-18,118.86557,314.202148,0.9601598423414855
32,2020-02-19,120.486794,315.704437,0.9454939165540335
33,2020-02-20,120.486794,314.407471,0.9319697785543759
34,2020-02-21,119.014534,311.169525,0.9142822257091078
35,2020-02-24,115.815941,300.849487,0.8955162491571463
36,2020-02-25,110.645576,291.733154,0.8727582262129149
37,2020-02-26,110.9786,290.660034,0.8514577483212759
38,2020-02-27,106.360313,277.606049,0.8271092947070328
39,2020-02-28,101.750809,276.439636,0.8207673087007534
40,2020-03-02,106.49176,288.411316,0.8131616615601339
41,2020-03-03,102.495697,280.153442,0.7961293302737115
42,2020-03-04,105.02829,291.929016,0.7873263980188512
43,2020-03-05,99.875473,282.224854,0.7590516660771964
44,2020-03-06,94.713875,277.559357,0.739567559129007
45,2020-03-09,81.884392,255.883514,0.7168499837380145
46,2020-03-10,88.246552,269.124176,0.7040872399614504
47,2020-03-11,84.092735,256.004791,0.6837797368278092
48,2020-03-12,77.160973,231.510986,0.6789006998632392
49,2020-03-13,91.059578,251.302017,0.6530005584591673
50,2020-03-16,77.43264,223.803604,0.6745705468016511
51,2020-03-17,82.164803,235.887207,0.633301771608903
52,2020-03-18,73.515411,223.943558,0.6352929090385011
53,2020-03-19,74.751053,224.419403,0.5791959155065933
54,2020-03-20,73.173653,214.74823,0.5439771455829499
55,2020-03-23,69.256454,209.257538,0.47374903931465984
56,2020-03-24,77.493958,228.216934,0.32182434214416406
57,2020-03-25,80.385872,231.633392,0.28033147863907926
58,2020-03-26,85.985626,245.158432,0.27438807268640514
59,2020-03-27,79.860062,237.856201,0.36794415868874253
60,2020-03-30,81.936958,245.58078,0.43408584851817594
61,2020-03-31,78.896111,241.920288,0.4953415044428829
62,2020-04-01,73.927307,231.032669,0.5166306739507505
63,2020-04-02,76.687752,236.363876,0.48574971727831867
64,2020-04-03,74.421028,232.947418,0.48919990198478025
65,2020-04-06,79.211243,248.593613,0.4929974678518332
66,2020-04-07,80.256035,248.847061,0.5529013702347922
67,2020-04-08,83.49675,257.200439,0.6468686677046028
68,2020-04-09,90.987572,261.11438,0.7326192106323226
69,2020-04-13,86.941124,258.730316,0.8246463857711682
70,2020-04-14,84.559273,266.361084,0.8744697021132519
71,2020-04-15,80.388855,260.701324,0.883188623800654
72,2020-04-16,77.325272,261.959015,0.8880939462629036
73,2020-04-17,84.275925,269.036041,0.886717242486655
74,2020-04-20,81.203476,264.296112,0.8930520923501835
75,2020-04-21,78.848213,256.271179,0.8924273282487074
76,2020-04-22,79.10498,261.959015,0.8932138212970808
77,2020-04-23,79.149269,261.940277,0.8879230423320263
78,2020-04-24,80.318031,265.5914,0.8768508298903925
79,2020-04-27,83.780083,269.420837,0.8680389893993908
