,Date,XOM,SPY,IC
0,2020-01-02,56.539871,303.135559,0.45917070116859515
1,2020-01-03,56.085304,300.840179,0.5407791530810335
2,2020-01-06,56.515934,301.987946,0.5868029168350527
3,2020-01-07,56.053417,301.138763,0.6508561924957262
4,2020-01-08,55.208107,302.743713,0.7177012307032665
5,2020-01-09,55.630756,304.796509,0.7938789232930495
6,2020-01-10,55.136333,303.919342,0.830971809539176
7,2020-01-13,55.662655,306.009521,0.8657295602651832
8,2020-01-14,55.184185,305.542999,0.8954344470239355
9,2020-01-15,55.096462,306.233582,0.9163394688263434
10,2020-01-16,54.881149,308.780853,0.9343432379194229
11,2020-01-17,54.673805,309.741943,0.9456831112105681
12,2020-01-21,53.892292,309.135437,0.9560656158806027
13,2020-01-22,53.581287,309.172668,0.9626988839040693
14,2020-01-23,53.246346,309.527313,0.9678953304780832
15,2020-01-24,52.887497,306.774597,0.9722093892366658
16,2020-01-27,51.627514,301.857269,0.9765926195294535
17,2020-01-28,51.555733,305.020477,0.9806392309153038
18,2020-01-29,51.125114,304.768494,0.9832352023332351
19,2020-01-30,51.667385,305.757538,0.9857746461584357
20,2020-01-31,49.538162,300.205688,0.988130124360724
21,2020-02-03,48.429695,302.435822,0.990444293352231
22,2020-02-04,47.823631,307.045258,0.9909523153490695
23,2020-02-05,50.02462,310.591064,0.9898788771314163
24,2020-02-06,49.346779,311.636108,0.9895135610002481
25,2020-02-07,49.019817,309.975189,0.9893639165697775
26,2020-02-10,48.502117,312.289307,0.9892936582114539
27,2020-02-11,48.963188,312.830505,0.9887812617973524
28,2020-02-12,49.56179,314.845978,0.9879036471385036
29,2020-02-13,49.286762,314.510101,0.9870233343222078
30,2020-02-14,49.060265,315.013947,0.9840530764741888
31,2020-02-18,48.437405,314.202148,0.9801450391826859
32,2020-02-19,48.809505,315.704437,0.9726304266949564
33,2020-02-20,48.42123,314.407471,0.9671024986139278
34,2020-02-21,47.830727,311.169525,0.9590372623778022
35,2020-02-24,45.590046,300.849487,0.9522587627597258
36,2020-02-25,43.842812,291.733154,0.9457235089933792
37,2020-02-26,42.880207,290.660034,0.941921682384043
38,2020-02-27,40.299793,277.606049,0.9368411654263407
39,2020-02-28,41.610222,276.439636,0.934437696404229
40,2020-03-02,43.583954,288.411316,0.9386080092948744
41,2020-03-03,41.496967,280.153442,0.9403791056685118
42,2020-03-04,42.402946,291.929016,0.9443340260907369
43,2020-03-05,40.534374,282.224854,0.9393806479255826
44,2020-03-06,38.576813,277.559357,0.938357617811506
45,2020-03-09,33.860889,255.883514,0.9368755789453016
46,2020-03-10,35.114689,269.124176,0.9381394325015886
47,2020-03-11,33.957954,256.004791,0.9392624282239675
48,2020-03-12,30.075197,231.510986,0.9418746481675647
49,2020-03-13,30.835573,251.302017,0.9437368908564009
50,2020-03-16,27.899233,223.803604,0.9489274570786203
51,2020-03-17,29.775906,235.887207,0.9456191560702348
52,2020-03-18,26.791027,223.943558,0.9439822365791873
53,2020-03-19,27.8507,224.419403,0.9387982299216545
54,2020-03-20,26.483644,214.74823,0.9358039520801916
55,2020-03-23,25.440157,209.257538,0.9253350078111535
56,2020-03-24,28.6677,228.216934,0.9056564418377995
57,2020-03-25,30.164175,231.633392,0.8944389545256755
58,2020-03-26,31.401808,245.158432,0.8865224145943527
59,2020-03-27,29.889153,237.856201,0.8869130715313325
60,2020-03-30,30.334044,245.58078,0.8815448112220209
61,2020-03-31,30.714231,241.920288,0.8793363890507256
62,2020-04-01,30.358313,231.032669,0.8715842792634061
63,2020-04-02,32.679886,236.363876,0.8533626333072668
64,2020-04-03,31.717278,232.947418,0.8656210792750157
65,2020-04-06,32.7365,248.593613,0.8760448787893984
66,2020-04-07,33.359364,248.847061,0.8822319941690621
67,2020-04-08,35.470612,257.200439,0.9001166085168899
68,2020-04-09,34.888199,261.11438,0.9262283321137307
69,2020-04-13,34.588898,258.730316,0.9367716177171347
70,2020-04-14,34.32196,266.361084,0.9427340362974254
71,2020-04-15,32.744591,260.701324,0.9419770463512994
72,2020-04-16,31.668739,261.959015,0.9402113732473465
73,2020-04-17,34.961006,269.036041,0.9426252770263212
74,2020-04-20,33.310825,264.296112,0.9409084355543735
75,2020-04-21,33.13287,256.271179,0.932559182714238
76,2020-04-22,34.079288,261.959015,0.9210069147758574
77,2020-04-23,35.147053,261.940277,0.906913392947547
78,2020-04-24,35.373539,265.5914,0.8963896759239843
79,2020-04-27,35.543411,269.420837,0.8849180477562175
80,2020-04-28,36.376587,268.181976,0.8702642747584176
81,2020-04-29,38.390766,275.202484,0.8590711384104432
82,2020-04-30,37.589947,272.640167,0.8581130988684803
83,2020-05-01,34.896286,265.422516,0.8528482264809246
84,2020-05-04,36.303787,266.154602,0.8308096751378751
85,2020-05-05,36.263348,268.613708,0.8036295926507998
86,2020-05-06,35.583855,266.792877,0.7741070496962076
87,2020-05-07,35.786087,270.012085,0.728090200155871
88,2020-05-08,37.355366,274.479767,0.6782804984133449
89,2020-05-11,36.999451,274.536133,0.633189024069077
90,2020-05-12,36.381001,269.064209,0.5712114394572951
91,2020-05-13,34.575146,264.305542,0.518179888879353
92,2020-05-14,34.880241,267.468567,0.4459369563834856
93,2020-05-15,34.632866,268.69809,0.37603349222169735
