Date,GOOG,SPY,IC
2020-01-02,68.290787,303.135559,0.8745233834351216
2020-01-03,67.955666,300.840179,0.9044273131868744
2020-01-06,69.631264,301.987946,0.9251603457650616
2020-01-07,69.587814,301.138763,0.9397725223178124
2020-01-08,70.136192,302.743713,0.9528150178741764
2020-01-09,70.910805,304.796509,0.9688544498242858
2020-01-10,71.405251,303.919342,0.975130153549194
2020-01-13,71.879707,306.009521,0.9804184075410126
2020-01-14,71.462677,305.542999,0.9857569884495796
2020-01-15,71.878204,306.233582,0.987552256826086
2020-01-16,72.502495,308.780853,0.9905079552110826
2020-01-17,73.935364,309.741943,0.9922935182046712
2020-01-21,74.135635,309.135437,0.9927422441581506
2020-01-22,74.213051,309.172668,0.9924879241103944
2020-01-23,74.248009,309.527313,0.9926115818529988
2020-01-24,73.252144,306.774597,0.9925839258845892
2020-01-27,71.61351,301.857269,0.992573340440366
2020-01-28,72.545448,305.020477,0.9927465620228316
2020-01-29,72.848602,304.768494,0.992621991623038
2020-01-30,72.709259,305.757538,0.9921022013969216
2020-01-31,71.62999,300.205688,0.9915705399456536
2020-02-03,74.212547,302.435822,0.9916543684514012
2020-02-04,72.271255,307.045258,0.9924876392262356
2020-02-05,72.329193,310.591064,0.99256695717001
2020-02-06,73.7276,311.636108,0.9929500591014002
2020-02-07,73.877434,309.975189,0.9928370905823748
2020-02-10,75.348259,312.289307,0.9925898318396124
2020-02-11,75.353752,312.830505,0.9920464012152592
2020-02-12,75.827209,314.845978,0.9908453386170298
2020-02-13,75.646919,314.510101,0.990064030159377
2020-02-14,75.950577,315.013947,0.9893951916699764
2020-02-18,75.897133,314.202148,0.9885223247938636
2020-02-19,76.247734,315.704437,0.987692886964328
2020-02-20,75.82122,314.407471,0.986819345194206
2020-02-21,74.171097,311.169525,0.9857710413787514
2020-02-24,70.998703,300.849487,0.9837894522234532
2020-02-25,69.34359,291.733154,0.9818375446047788
2020-02-26,69.579819,290.660034,0.9795632119550288
2020-02-27,65.82959,277.606049,0.9780193203495732
2020-02-28,66.890381,276.439636,0.9774463541590416
2020-03-02,69.376549,288.411316,0.9748229177771544
2020-03-03,66.993271,280.153442,0.9724635356891672
2020-03-04,69.2472,291.929016,0.9676113169917084
2020-03-05,65.877037,282.224854,0.9591530201757484
2020-03-06,64.84671,277.559357,0.9539193422861776
2020-03-09,60.708916,255.883514,0.9492091490491924
2020-03-10,63.946732,269.124176,0.9454091517273456
2020-03-11,60.701424,256.004791,0.9410114794774233
2020-03-12,55.682137,231.510986,0.9412980261157344
2020-03-13,60.917179,251.302017,0.9380185589920343
2020-03-16,54.154873,223.803604,0.935670287954515
2020-03-17,55.926361,235.887207,0.9294870446304864
2020-03-18,54.777664,223.943558,0.9269167392423012
2020-03-19,55.701115,224.419403,0.9221368871280198
2020-03-20,53.555058,214.74823,0.9237709252609132
2020-03-23,52.77095,209.257538,0.9236814680771768
2020-03-24,56.658524,228.216934,0.9311051712283278
2020-03-25,55.061844,231.633392,0.9380580304712344
2020-03-26,58.021477,245.158432,0.9360820616324989
2020-03-27,55.472374,237.856201,0.9366623091089228
2020-03-30,57.275822,245.58078,0.933233550816777
2020-03-31,58.074413,241.920288,0.9321015327590118
2020-04-01,55.218163,231.032669,0.9317168296255444
2020-04-02,55.978298,236.363876,0.92768157588191
2020-04-03,54.831604,232.947418,0.9209287523737852
2020-04-06,59.278545,248.593613,0.9021338640525852
2020-04-07,59.258068,248.847061,0.8847732644300383
2020-04-08,60.445217,257.200439,0.8622794899874808
2020-04-09,60.503647,261.11438,0.8483889466374736
2020-04-13,60.8088,258.730316,0.8532990146113638
2020-04-14,63.389362,266.361084,0.8574537284411354
2020-04-15,63.05175,260.701324,0.858555219712381
2020-04-16,63.101692,261.959015,0.8542797202758246
2020-04-17,64.089569,269.036041,0.8509367516016461
2020-04-20,63.258514,264.296112,0.8571677009001215
2020-04-21,60.747871,256.271179,0.8590608333134173
2020-04-22,63.088707,261.959015,0.8514723572694483
2020-04-23,63.742962,261.940277,0.8466464866017092
2020-04-24,63.892792,265.5914,0.841153796791335
2020-04-27,63.721485,269.420837,0.8427739845008607
2020-04-28,61.613384,268.181976,0.854360402232462
2020-04-29,66.997757,275.202484,0.9189954658558736
