Date,AMZN,SPY,IC
2020-01-02,94.900497,303.135559,0.4827628865600429
2020-01-03,93.748497,300.840179,0.4762830612423432
2020-01-06,95.143997,301.987946,0.4638806486582228
2020-01-07,95.343002,301.138763,0.4601435540712491
2020-01-08,94.598503,302.743713,0.4633926386485298
2020-01-09,95.052498,304.796509,0.5104044685348677
2020-01-10,94.157997,303.919342,0.5196228719275964
2020-01-13,94.565002,306.009521,0.5547472699887446
2020-01-14,93.472,305.542999,0.6436216456878922
2020-01-15,93.100998,306.233582,0.6789338279779233
2020-01-16,93.897003,308.780853,0.7334929686295095
2020-01-17,93.236,309.741943,0.7519037576944083
2020-01-21,94.599998,309.135437,0.7609852479823539
2020-01-22,94.373001,309.172668,0.7534125268144083
2020-01-23,94.228996,309.527313,0.75645285360106
2020-01-24,93.082001,306.774597,0.7423483158093203
2020-01-27,91.417,301.857269,0.7434360436387162
2020-01-28,92.662498,305.020477,0.7670081211171185
2020-01-29,92.900002,304.768494,0.7840769818425699
2020-01-30,93.533997,305.757538,0.8088407660860875
2020-01-31,100.435997,300.205688,0.8273330147343105
2020-02-03,100.209999,302.435822,0.8206824495786565
2020-02-04,102.483498,307.045258,0.8176791172559009
2020-02-05,101.9935,310.591064,0.8118045595002603
2020-02-06,102.511497,311.636108,0.8079723210562878
2020-02-07,103.963997,309.975189,0.7964062603002322
2020-02-10,106.695503,312.289307,0.7794687557651505
2020-02-11,107.540001,312.830505,0.7575308439354385
2020-02-12,108.0,314.845978,0.7349618308279107
2020-02-13,107.4935,314.510101,0.6786669914508973
2020-02-14,106.7435,315.013947,0.6068113536928244
2020-02-18,107.783501,314.202148,0.5313013763898042
2020-02-19,108.511002,315.704437,0.447850195230734
2020-02-20,107.654999,314.407471,0.4002863609198267
2020-02-21,104.7985,311.169525,0.3558100369442828
2020-02-24,100.4645,300.849487,0.3254859728907452
2020-02-25,98.637001,291.733154,0.3348327438911316
2020-02-26,98.9795,290.660034,0.353617543035313
2020-02-27,94.214996,277.606049,0.3843283691177185
2020-02-28,94.1875,276.439636,0.4298537736914132
2020-03-02,97.697502,288.411316,0.4723927396472655
2020-03-03,95.449501,280.153442,0.5322556807529513
2020-03-04,98.791496,291.929016,0.589229966365494
2020-03-05,96.2015,282.224854,0.651080530995091
2020-03-06,95.054497,277.559357,0.7121931754714302
2020-03-09,90.030502,255.883514,0.7730399352436995
2020-03-10,94.591003,269.124176,0.802134701077875
2020-03-11,91.042999,256.004791,0.8486377923682086
2020-03-12,83.830498,231.510986,0.8782109622185591
2020-03-13,89.25,251.302017,0.8832339163256985
2020-03-16,84.457497,223.803604,0.9097118869442332
2020-03-17,90.391998,235.887207,0.9049598766140358
2020-03-18,91.5,223.943558,0.907342581288862
2020-03-19,94.046501,224.419403,0.9018974059631518
2020-03-20,92.304497,214.74823,0.8990978183827362
2020-03-23,95.141502,209.257538,0.8977058519489006
2020-03-24,97.004997,228.216934,0.9229873943682966
