,Date,GOOG,SPY,IC
0,2020-01-02,68.290787,303.135559,0.8745233834351216
1,2020-01-03,67.955666,300.840179,0.9044273131868743
2,2020-01-06,69.631264,301.987946,0.9251603457650615
3,2020-01-07,69.587814,301.138763,0.9397725223178124
4,2020-01-08,70.136192,302.743713,0.9528150178741764
5,2020-01-09,70.910805,304.796509,0.9688544498242858
6,2020-01-10,71.405251,303.919342,0.975130153549194
7,2020-01-13,71.879707,306.009521,0.9804184075410126
8,2020-01-14,71.462677,305.542999,0.9857569884495796
9,2020-01-15,71.878204,306.233582,0.987552256826086
10,2020-01-16,72.502495,308.780853,0.9905079552110826
11,2020-01-17,73.935364,309.741943,0.9922935182046712
12,2020-01-21,74.135635,309.135437,0.9927422441581506
13,2020-01-22,74.213051,309.172668,0.9924879241103944
14,2020-01-23,74.248009,309.527313,0.9926115818529989
15,2020-01-24,73.252144,306.774597,0.9925839258845892
16,2020-01-27,71.61351,301.857269,0.992573340440366
17,2020-01-28,72.545448,305.020477,0.9927465620228315
18,2020-01-29,72.848602,304.768494,0.9926219916230381
19,2020-01-30,72.709259,305.757538,0.9921022013969215
20,2020-01-31,71.62999,300.205688,0.9915705399456535
21,2020-02-03,74.212547,302.435822,0.9916543684514011
22,2020-02-04,72.271255,307.045258,0.9924876392262355
23,2020-02-05,72.329193,310.591064,0.9925669571700101
24,2020-02-06,73.7276,311.636108,0.9929500591014002
25,2020-02-07,73.877434,309.975189,0.9928370905823748
26,2020-02-10,75.348259,312.289307,0.9925898318396124
27,2020-02-11,75.353752,312.830505,0.9920464012152591
28,2020-02-12,75.827209,314.845978,0.9908453386170298
29,2020-02-13,75.646919,314.510101,0.990064030159377
30,2020-02-14,75.950577,315.013947,0.9893951916699765
31,2020-02-18,75.897133,314.202148,0.9885223247938635
32,2020-02-19,76.247734,315.704437,0.9876928869643279
33,2020-02-20,75.82122,314.407471,0.9868193451942061
34,2020-02-21,74.171097,311.169525,0.9857710413787514
35,2020-02-24,70.998703,300.849487,0.9837894522234533
36,2020-02-25,69.34359,291.733154,0.9818375446047787
37,2020-02-26,69.579819,290.660034,0.9795632119550287
38,2020-02-27,65.82959,277.606049,0.9780193203495733
39,2020-02-28,66.890381,276.439636,0.9774463541590417
40,2020-03-02,69.376549,288.411316,0.9748229177771544
41,2020-03-03,66.993271,280.153442,0.9724635356891673
42,2020-03-04,69.2472,291.929016,0.9676113169917083
43,2020-03-05,65.877037,282.224854,0.9591530201757484
44,2020-03-06,64.84671,277.559357,0.9539193422861777
45,2020-03-09,60.708916,255.883514,0.9492091490491924
46,2020-03-10,63.946732,269.124176,0.9454091517273456
47,2020-03-11,60.701424,256.004791,0.9410114794774233
48,2020-03-12,55.682137,231.510986,0.9412980261157343
49,2020-03-13,60.917179,251.302017,0.9380185589920345
50,2020-03-16,54.154873,223.803604,0.935670287954515
51,2020-03-17,55.926361,235.887207,0.9294870446304863
52,2020-03-18,54.777664,223.943558,0.9269167392423011
53,2020-03-19,55.701115,224.419403,0.9221368871280198
54,2020-03-20,53.555058,214.74823,0.9237709252609132
55,2020-03-23,52.77095,209.257538,0.9236814680771768
56,2020-03-24,56.658524,228.216934,0.9311051712283278
57,2020-03-25,55.061844,231.633392,0.9380580304712345
58,2020-03-26,58.021477,245.158432,0.9360820616324987
59,2020-03-27,55.472374,237.856201,0.9366623091089227
60,2020-03-30,57.275822,245.58078,0.933233550816777
61,2020-03-31,58.074413,241.920288,0.9321015327590118
62,2020-04-01,55.218163,231.032669,0.9317168296255445
63,2020-04-02,55.978298,236.363876,0.9276815758819099
