Date,JPM,SPY,IC
2020-01-02,122.85289,303.135559,0.8774853268794138
2020-01-03,121.231644,300.840179,0.9117348017955272
2020-01-06,121.135254,301.987946,0.9175051724762802
2020-01-07,119.075867,301.138763,0.9305112279367936
2020-01-08,120.004799,302.743713,0.936663361882884
2020-01-09,120.442978,304.796509,0.9575620980175196
2020-01-10,119.242386,303.919342,0.9618972961043968
2020-01-13,120.232651,306.009521,0.970113269072623
2020-01-14,121.634758,305.542999,0.973630554761873
2020-01-15,119.812012,306.233582,0.9734020094716284
2020-01-16,120.276459,308.780853,0.9739743198807276
2020-01-17,121.108955,309.741943,0.9754367133612364
2020-01-21,119.917168,309.135437,0.9787129408460769
2020-01-22,119.776909,309.172668,0.9806903001299904
2020-01-23,119.654266,309.527313,0.9813435649557478
2020-01-24,116.683495,306.774597,0.9827286384122296
2020-01-27,115.702003,301.857269,0.9834737943179054
2020-01-28,117.805191,305.020477,0.9838502273136116
2020-01-29,117.629929,304.768494,0.9840372081068324
2020-01-30,119.084633,305.757538,0.9843846471658808
2020-01-31,115.991211,300.205688,0.9843588696014872
2020-02-03,116.876289,302.435822,0.984225664226196
2020-02-04,118.558815,307.045258,0.9844484134103716
2020-02-05,120.574409,310.591064,0.9842923569731464
2020-02-06,120.591942,311.636108,0.98400866763963
2020-02-07,120.206345,309.975189,0.9821364746382936
2020-02-10,120.705856,312.289307,0.9806783448117352
2020-02-11,120.933731,312.830505,0.9783002989919756
2020-02-12,120.933731,314.845978,0.977127786609824
2020-02-13,120.828545,314.510101,0.9750535461794176
2020-02-14,120.460495,315.013947,0.968674507995878
2020-02-18,118.86557,314.202148,0.9601598423414855
2020-02-19,120.486794,315.704437,0.9454939165540336
2020-02-20,120.486794,314.407471,0.931969778554376
2020-02-21,119.014534,311.169525,0.9142822257091078
2020-02-24,115.815941,300.849487,0.8955162491571463
2020-02-25,110.645576,291.733154,0.8727582262129149
2020-02-26,110.9786,290.660034,0.8514577483212759
2020-02-27,106.360313,277.606049,0.8271092947070328
2020-02-28,101.750809,276.439636,0.8207673087007534
2020-03-02,106.49176,288.411316,0.8131616615601339
2020-03-03,102.495697,280.153442,0.7961293302737115
2020-03-04,105.02829,291.929016,0.7873263980188512
2020-03-05,99.875473,282.224854,0.7590516660771964
2020-03-06,94.713875,277.559357,0.739567559129007
2020-03-09,81.884392,255.883514,0.7168499837380145
2020-03-10,88.246552,269.124176,0.7040872399614504
2020-03-11,84.092735,256.004791,0.6837797368278092
2020-03-12,77.160973,231.510986,0.6789006998632392
2020-03-13,91.059578,251.302017,0.6530005584591673
2020-03-16,77.43264,223.803604,0.6745705468016511
2020-03-17,82.164803,235.887207,0.633301771608903
2020-03-18,73.515411,223.943558,0.6352929090385011
2020-03-19,74.751053,224.419403,0.5791959155065933
2020-03-20,73.173653,214.74823,0.5439771455829499
2020-03-23,69.256454,209.257538,0.4737490393146598
2020-03-24,77.493958,228.216934,0.321824342144164
2020-03-25,80.385872,231.633392,0.2803314786390792
2020-03-26,85.985626,245.158432,0.2743880726864051
2020-03-27,79.860062,237.856201,0.3679441586887425
2020-03-30,81.936958,245.58078,0.4340858485181759
2020-03-31,78.896111,241.920288,0.4953415044428829
2020-04-01,73.927307,231.032669,0.5166306739507505
2020-04-02,76.687752,236.363876,0.4857497172783186
2020-04-03,74.421028,232.947418,0.4891999019847802
2020-04-06,79.211243,248.593613,0.4929974678518332
2020-04-07,80.256035,248.847061,0.5529013702347922
2020-04-08,83.49675,257.200439,0.6468686677046028
2020-04-09,90.987572,261.11438,0.7326192106323226
2020-04-13,86.941124,258.730316,0.8246463857711682
2020-04-14,84.559273,266.361084,0.8744697021132519
2020-04-15,80.388855,260.701324,0.883188623800654
2020-04-16,77.325272,261.959015,0.8880939462629036
2020-04-17,84.275925,269.036041,0.886717242486655
2020-04-20,81.203476,264.296112,0.8930520923501835
2020-04-21,78.848213,256.271179,0.8924273282487074
2020-04-22,79.10498,261.959015,0.8932138212970808
2020-04-23,79.149269,261.940277,0.8879230423320263
2020-04-24,80.318031,265.5914,0.8768508298903925
2020-04-27,83.780083,269.420837,0.8680389893993908
2020-04-28,84.373337,268.181976,0.8684339772967056
2020-04-29,86.648918,275.202484,0.8782536040890776
2020-04-30,84.78949,272.640167,0.8827311438984634
2020-05-01,82.567047,265.422516,0.8810792793262746
2020-05-04,81.584206,266.154602,0.8826492631472098
2020-05-05,81.460258,268.613708,0.8726680260134896
2020-05-06,79.928429,266.792877,0.8566993698627557
2020-05-07,80.760757,270.012085,0.8370169729402842
2020-05-08,82.08007,274.479767,0.8132842215589903
2020-05-11,79.662819,274.536133,0.7883447502313667
2020-05-12,77.059624,269.064209,0.7530509443381196
2020-05-13,74.403313,264.305542,0.7244755002446734
2020-05-14,77.493492,267.468567,0.6852696416184478
2020-05-15,76.059082,268.69809,0.6523238778459276
2020-05-18,80.08783,276.882538,0.6030768637346746
2020-05-19,78.511749,274.038666,0.5808556833767293
2020-05-20,80.867004,278.69397,0.527103177969558
2020-05-21,79.839882,276.769958,0.4750635592350414
2020-05-22,79.2201,277.295593,0.4225786252212873
2020-05-26,84.842621,280.712006,0.3454363071076116
2020-05-27,89.75679,284.888702,0.327269933674283
2020-05-28,88.419777,284.363129,0.3470180610307158
2020-05-29,86.161903,285.630249,0.3459904986564905
2020-06-01,87.304146,286.784637,0.3329812415649095
2020-06-02,87.596329,289.159302,0.3383354858796484
2020-06-03,92.324577,293.007477,0.3268546756323747
