,Date,GME,SPY,IC
100,2020-05-27,1.1725,284.888702,-0.2553014490960374
101,2020-05-28,1.0825,284.363129,-0.2561288170508676
102,2020-05-29,1.015,285.630249,-0.30001274363791597
103,2020-06-01,1.0325,286.784637,-0.3710230967723494
104,2020-06-02,1.045,289.159302,-0.4290724286880149
105,2020-06-03,1.11,293.007477,-0.46706919829863347
106,2020-06-04,1.1175,292.237823,-0.4868615160216811
107,2020-06-05,1.035,299.727722,-0.4914257498727579
108,2020-06-08,1.2525,303.350739,-0.46180656776524615
109,2020-06-09,1.24,301.088623,-0.4558793872806239
110,2020-06-10,1.2675,299.40863,-0.456620722175526
111,2020-06-11,1.0925,282.148041,-0.5020383396437508
112,2020-06-12,1.18,285.526886,-0.4925877213271659
113,2020-06-15,1.1725,288.192505,-0.4430967062864765
114,2020-06-16,1.16,293.739532,-0.3556700424761811
115,2020-06-17,1.19,292.51944,-0.2681636486609473
116,2020-06-18,1.2375,292.63205,-0.15644670015241202
117,2020-06-19,1.22,290.959717,-0.04714626173639738
118,2020-06-22,1.2175,292.826202,0.10342712555758884
119,2020-06-23,1.2075,294.174286,0.2285891717953472
120,2020-06-24,1.1025,286.670258,0.33888295996222084
121,2020-06-25,1.115,289.743561,0.43363075004008156
122,2020-06-26,1.0875,282.861755,0.5200478504809272
123,2020-06-29,1.095,287.019104,0.611619420182883
124,2020-06-30,1.085,290.695709,0.7009526106620894
125,2020-07-01,1.11,292.731934,0.7642718388896346
126,2020-07-02,1.0725,294.344025,0.8287576676833721
127,2020-07-06,1.06,298.887878,0.7954682870338543
128,2020-07-07,1.0225,295.805298,0.7706061299900879
129,2020-07-08,1.065,298.06778,0.801504713493409
130,2020-07-09,1.0525,296.37088,0.7812016008317454
131,2020-07-10,1.085,299.396942,0.7686997592872747
132,2020-07-13,1.065,296.804474,0.7147007752190645
133,2020-07-14,1.02,300.650787,0.7122141292405202
134,2020-07-15,1.0475,303.412964,0.6996708409734145
135,2020-07-16,1.0425,302.413605,0.6886851318483038
136,2020-07-17,0.99,303.290405,0.6790096977192224
137,2020-07-20,0.9625,305.741425,0.6678078350655324
138,2020-07-21,1.0025,306.391968,0.622803229015324
139,2020-07-22,1.0275,308.135956,0.5558652772988364
140,2020-07-23,1.0275,304.459381,0.4673735149683442
141,2020-07-24,1.0075,302.498505,0.37774826075157364
142,2020-07-27,1.0025,304.704498,0.2730435630953699
143,2020-07-28,0.985,302.771851,0.1314960683425105
144,2020-07-29,1.015,306.495605,0.01613178736152894
145,2020-07-30,1.025,305.402069,-0.06869069998369176
146,2020-07-31,1.0025,307.815399,-0.1289312128520917
147,2020-08-03,1.0375,309.955414,-0.19732270049091677
148,2020-08-04,1.1075,311.152649,-0.24243338272473847
149,2020-08-05,1.1575,313.085175,-0.2720237770909651
150,2020-08-06,1.1075,315.178009,-0.3072528699852402
151,2020-08-07,1.04,315.404297,-0.31348177126670623
152,2020-08-10,1.0825,316.346985,-0.34397357975046505
153,2020-08-11,1.0875,313.735657,-0.3487409331866484
154,2020-08-12,1.13,318.109894,-0.29166588329881143
155,2020-08-13,1.16,317.53479,-0.2258683489083526
156,2020-08-14,1.1875,317.544189,-0.1423551092748933
157,2020-08-17,1.1575,318.552948,-0.08723329247231715
158,2020-08-18,1.2025,319.241119,-0.044774686375267644
159,2020-08-19,1.18,317.911926,0.008999153725966387
160,2020-08-20,1.1525,318.901703,0.04009502599354458
161,2020-08-21,1.2575,320.03302,0.04319312791883882
162,2020-08-24,1.2175,323.275909,0.058125636777342726
163,2020-08-25,1.245,324.407135,0.08561438325079894
164,2020-08-26,1.2775,327.659546,0.1313732393564465
165,2020-08-27,1.3125,328.376038,0.20136971269707923
