Date,XOM,SPY,IC
2020-01-02,56.539871,303.135559,0.4591707011685951
2020-01-03,56.085304,300.840179,0.5407791530810335
2020-01-06,56.515934,301.987946,0.5868029168350527
2020-01-07,56.053417,301.138763,0.6508561924957262
2020-01-08,55.208107,302.743713,0.7177012307032665
2020-01-09,55.630756,304.796509,0.7938789232930495
2020-01-10,55.136333,303.919342,0.830971809539176
2020-01-13,55.662655,306.009521,0.8657295602651832
2020-01-14,55.184185,305.542999,0.8954344470239355
2020-01-15,55.096462,306.233582,0.9163394688263434
2020-01-16,54.881149,308.780853,0.9343432379194228
2020-01-17,54.673805,309.741943,0.945683111210568
2020-01-21,53.892292,309.135437,0.9560656158806028
2020-01-22,53.581287,309.172668,0.9626988839040692
2020-01-23,53.246346,309.527313,0.9678953304780832
2020-01-24,52.887497,306.774597,0.9722093892366658
2020-01-27,51.627514,301.857269,0.9765926195294536
2020-01-28,51.555733,305.020477,0.9806392309153038
2020-01-29,51.125114,304.768494,0.9832352023332352
2020-01-30,51.667385,305.757538,0.9857746461584356
2020-01-31,49.538162,300.205688,0.988130124360724
2020-02-03,48.429695,302.435822,0.990444293352231
2020-02-04,47.823631,307.045258,0.9909523153490696
2020-02-05,50.02462,310.591064,0.9898788771314164
2020-02-06,49.346779,311.636108,0.989513561000248
2020-02-07,49.019817,309.975189,0.9893639165697776
2020-02-10,48.502117,312.289307,0.989293658211454
2020-02-11,48.963188,312.830505,0.9887812617973524
2020-02-12,49.56179,314.845978,0.9879036471385036
2020-02-13,49.286762,314.510101,0.9870233343222078
2020-02-14,49.060265,315.013947,0.9840530764741888
2020-02-18,48.437405,314.202148,0.980145039182686
2020-02-19,48.809505,315.704437,0.9726304266949564
2020-02-20,48.42123,314.407471,0.9671024986139278
2020-02-21,47.830727,311.169525,0.9590372623778022
2020-02-24,45.590046,300.849487,0.9522587627597258
2020-02-25,43.842812,291.733154,0.9457235089933792
2020-02-26,42.880207,290.660034,0.941921682384043
2020-02-27,40.299793,277.606049,0.9368411654263408
2020-02-28,41.610222,276.439636,0.934437696404229
2020-03-02,43.583954,288.411316,0.9386080092948744
2020-03-03,41.496967,280.153442,0.9403791056685118
2020-03-04,42.402946,291.929016,0.9443340260907368
2020-03-05,40.534374,282.224854,0.9393806479255826
2020-03-06,38.576813,277.559357,0.938357617811506
2020-03-09,33.860889,255.883514,0.9368755789453016
2020-03-10,35.114689,269.124176,0.9381394325015886
2020-03-11,33.957954,256.004791,0.9392624282239675
2020-03-12,30.075197,231.510986,0.9418746481675648
2020-03-13,30.835573,251.302017,0.9437368908564008
2020-03-16,27.899233,223.803604,0.9489274570786204
2020-03-17,29.775906,235.887207,0.9456191560702348
2020-03-18,26.791027,223.943558,0.9439822365791872
2020-03-19,27.8507,224.419403,0.9387982299216544
2020-03-20,26.483644,214.74823,0.9358039520801916
2020-03-23,25.440157,209.257538,0.9253350078111536
2020-03-24,28.6677,228.216934,0.9056564418377996
2020-03-25,30.164175,231.633392,0.8944389545256755
2020-03-26,31.401808,245.158432,0.8865224145943527
2020-03-27,29.889153,237.856201,0.8869130715313325
2020-03-30,30.334044,245.58078,0.8815448112220209
2020-03-31,30.714231,241.920288,0.8793363890507256
2020-04-01,30.358313,231.032669,0.8715842792634061
2020-04-02,32.679886,236.363876,0.8533626333072668
2020-04-03,31.717278,232.947418,0.8656210792750157
2020-04-06,32.7365,248.593613,0.8760448787893984
2020-04-07,33.359364,248.847061,0.8822319941690621
2020-04-08,35.470612,257.200439,0.9001166085168899
2020-04-09,34.888199,261.11438,0.9262283321137308
2020-04-13,34.588898,258.730316,0.9367716177171348
2020-04-14,34.32196,266.361084,0.9427340362974254
2020-04-15,32.744591,260.701324,0.9419770463512994
2020-04-16,31.668739,261.959015,0.9402113732473464
2020-04-17,34.961006,269.036041,0.9426252770263212
2020-04-20,33.310825,264.296112,0.9409084355543736
2020-04-21,33.13287,256.271179,0.932559182714238
2020-04-22,34.079288,261.959015,0.9210069147758574
2020-04-23,35.147053,261.940277,0.906913392947547
2020-04-24,35.373539,265.5914,0.8963896759239843
2020-04-27,35.543411,269.420837,0.8849180477562175
2020-04-28,36.376587,268.181976,0.8702642747584176
2020-04-29,38.390766,275.202484,0.8590711384104432
2020-04-30,37.589947,272.640167,0.8581130988684803
2020-05-01,34.896286,265.422516,0.8528482264809246
2020-05-04,36.303787,266.154602,0.8308096751378751
2020-05-05,36.263348,268.613708,0.8036295926507998
2020-05-06,35.583855,266.792877,0.7741070496962076
2020-05-07,35.786087,270.012085,0.728090200155871
2020-05-08,37.355366,274.479767,0.6782804984133449
2020-05-11,36.999451,274.536133,0.633189024069077
2020-05-12,36.381001,269.064209,0.5712114394572951
2020-05-13,34.575146,264.305542,0.518179888879353
2020-05-14,34.880241,267.468567,0.4459369563834856
2020-05-15,34.632866,268.69809,0.3760334922216973
2020-05-18,37.387005,276.882538,0.2899802714857511
2020-05-19,36.232574,274.038666,0.2589329546659255
2020-05-20,37.411743,278.69397,0.1919150059928582
2020-05-21,36.743816,276.769958,0.125868112077102
2020-05-22,36.776802,277.295593,0.0823133160015093
2020-05-26,37.857025,280.712006,0.0185444344923659
2020-05-27,38.129143,284.888702,-0.0072644384878193
2020-05-28,37.139629,284.363129,-0.0244296074707104
2020-05-29,37.494198,285.630249,-0.0533321287808348
2020-06-01,38.162121,286.784637,-0.0756298664897787
2020-06-02,39.011452,289.159302,-0.0890185232571764
2020-06-03,40.602917,293.007477,-0.1107808235181822
2020-06-04,40.487469,292.237823,-0.1329634865951825
2020-06-05,43.769356,299.727722,-0.1504305551427784
2020-06-08,45.138172,303.350739,-0.201980358073107
2020-06-09,44.13216,301.088623,-0.3240988743992758
2020-06-10,41.765594,299.40863,-0.449967168464824
2020-06-11,38.079662,282.148041,-0.5401448550919987
2020-06-12,38.896004,285.526886,-0.4829724357864209
2020-06-15,38.871269,288.192505,-0.4054331736560761
2020-06-16,39.745331,293.739532,-0.3163165633747942
2020-06-17,38.450737,292.51944,-0.2857163214684441
2020-06-18,38.689857,292.63205,-0.2395750131019317
2020-06-19,37.914734,290.959717,-0.2018157098590347
2020-06-22,38.277573,292.826202,-0.1678005503542309
2020-06-23,38.508453,294.174286,-0.1391739606197803
2020-06-24,36.694355,286.670258,-0.1260285483240867
2020-06-25,37.246826,289.743561,-0.1486111762491263
2020-06-26,35.968708,282.861755,-0.1013731362069078
2020-06-29,36.545918,287.019104,-0.177151106047863
2020-06-30,36.875763,290.695709,-0.2485660735505422
2020-07-01,36.042919,292.731934,-0.3003775336551593
2020-07-02,36.348026,294.344025,-0.3505610562816772
2020-07-06,36.603642,298.887878,-0.3963008793357155
2020-07-07,35.655361,295.805298,-0.4475566792292059
2020-07-08,35.572903,298.06778,-0.5270461217661879
2020-07-09,34.105129,296.37088,-0.5572889181750507
2020-07-10,35.168842,299.396942,-0.637491336541778
2020-07-13,35.177097,296.804474,-0.6069142274761141
2020-07-14,36.339771,300.650787,-0.6204705502759481
2020-07-15,36.801544,303.412964,-0.552583864804632
2020-07-16,36.512939,302.413605,-0.488737788139086
2020-07-17,35.886253,303.290405,-0.4561976408165744
2020-07-20,35.045174,305.741425,-0.4424234257579403
2020-07-21,36.818043,306.391968,-0.4425250970366313
2020-07-22,35.960461,308.135956,-0.4069621618243761
2020-07-23,36.034679,304.459381,-0.358331540658221
2020-07-24,35.812038,302.498505,-0.2739051751094767
2020-07-27,36.339771,304.704498,-0.2007333998463291
2020-07-28,35.910984,302.771851,-0.0539029585721592
2020-07-29,36.306786,306.495605,0.0750727273915903
2020-07-30,34.525669,305.402069,0.1608712586204291
2020-07-31,34.698833,307.815399,0.191567301347034
2020-08-03,34.839016,309.955414,0.2332659694018793
2020-08-04,35.845024,311.152649,0.2595104382879296
2020-08-05,36.158363,313.085175,0.2817967913247303
2020-08-06,35.985199,315.178009,0.3219293951119808
2020-08-07,35.820282,315.404297,0.3206019247389393
2020-08-10,36.702595,316.346985,0.3452661733420322
2020-08-11,37.081905,313.735657,0.3444541249549975
2020-08-12,37.073494,318.109894,0.3739239900185512
2020-08-13,36.165359,317.53479,0.3581649960879851
