Date,cov_return_12,cov_price_79,IC
2020-01-02,,,0.8745233834351216
2020-01-03,0.0,0.0,0.9044273131868744
2020-01-06,0.0,0.0,0.9251603457650616
2020-01-07,0.0,0.0,0.9397725223178124
2020-01-08,0.0,0.0,0.9528150178741764
2020-01-09,0.0,0.0,0.9688544498242858
2020-01-10,0.0,0.0,0.975130153549194
2020-01-13,0.0,0.0,0.9804184075410126
2020-01-14,0.0,0.0,0.9857569884495796
2020-01-15,0.0,0.0,0.987552256826086
2020-01-16,0.0,0.0,0.9905079552110826
2020-01-17,0.0,0.0,0.9922935182046712
2020-01-21,0.0,0.0,0.9927422441581506
2020-01-22,0.0,0.0,0.9924879241103944
2020-01-23,0.5976126624415878,0.0,0.9926115818529988
2020-01-24,0.4994383587122561,0.0,0.9925839258845892
2020-01-27,0.5588711969249002,0.0,0.992573340440366
2020-01-28,0.7242509308168698,0.0,0.9927465620228316
2020-01-29,0.8541346116362533,0.0,0.992621991623038
2020-01-30,0.8543682891888115,0.0,0.9921022013969216
2020-01-31,0.881340763181013,0.0,0.9915705399456536
2020-02-03,0.8628092623136908,0.0,0.9916543684514012
2020-02-04,0.8750376279260702,0.0,0.9924876392262356
2020-02-05,0.8194217234105245,0.0,0.99256695717001
2020-02-06,0.4114151646812532,0.0,0.9929500591014002
2020-02-07,0.3919753786806812,0.0,0.9928370905823748
2020-02-10,0.4011603273940507,0.0,0.9925898318396124
2020-02-11,0.3892484640706122,0.0,0.9920464012152592
2020-02-12,0.4231167329704811,0.0,0.9908453386170298
2020-02-13,0.379340809198699,0.0,0.990064030159377
2020-02-14,0.1951339492414653,0.0,0.9893951916699764
2020-02-18,0.17641059133783266,0.0,0.9885223247938636
2020-02-19,0.17865142841930695,0.0,0.987692886964328
2020-02-20,0.19312306086615283,0.0,0.986819345194206
2020-02-21,-0.1176828550277727,0.0,0.9857710413787514
2020-02-24,-0.2006454379080771,0.0,0.9837894522234532
2020-02-25,0.6839616938397909,0.0,0.9818375446047788
2020-02-26,0.9298694459165241,0.0,0.9795632119550288
2020-02-27,0.9242858273838395,0.0,0.9780193203495732
2020-02-28,0.9260866680203197,0.0,0.9774463541590416
2020-03-02,0.9615572012491276,0.0,0.9748229177771544
2020-03-03,0.9257593803215863,0.0,0.9724635356891672
2020-03-04,0.9357193156591016,0.0,0.9676113169917084
2020-03-05,0.940132060974402,0.0,0.9591530201757484
2020-03-06,0.9470112737610298,0.0,0.9539193422861776
2020-03-09,0.9469135019649803,0.0,0.9492091490491924
2020-03-10,0.9449823064551914,0.0,0.9454091517273456
2020-03-11,0.9458848665182519,0.0,0.9410114794774233
2020-03-12,0.962985334690759,0.0,0.9412980261157344
2020-03-13,0.967028754985377,0.0,0.9380185589920343
2020-03-16,0.9731285643002189,0.0,0.935670287954515
2020-03-17,0.980630587996866,0.0,0.9294870446304864
