Date,GME,SPY,IC
2020-06-08,1.2525,303.350739,-0.4618065677652461
2020-06-09,1.24,301.088623,-0.4558793872806239
2020-06-10,1.2675,299.40863,-0.456620722175526
2020-06-11,1.0925,282.148041,-0.5020383396437508
2020-06-12,1.18,285.526886,-0.4925877213271659
2020-06-15,1.1725,288.192505,-0.4430967062864765
2020-06-16,1.16,293.739532,-0.3556700424761811
2020-06-17,1.19,292.51944,-0.2681636486609473
2020-06-18,1.2375,292.63205,-0.156446700152412
2020-06-19,1.22,290.959717,-0.0471462617363973
2020-06-22,1.2175,292.826202,0.1034271255575888
2020-06-23,1.2075,294.174286,0.2285891717953472
2020-06-24,1.1025,286.670258,0.3388829599622208
2020-06-25,1.115,289.743561,0.4336307500400815
2020-06-26,1.0875,282.861755,0.5200478504809272
2020-06-29,1.095,287.019104,0.611619420182883
2020-06-30,1.085,290.695709,0.7009526106620894
2020-07-01,1.11,292.731934,0.7642718388896346
2020-07-02,1.0725,294.344025,0.8287576676833721
2020-07-06,1.06,298.887878,0.7954682870338543
2020-07-07,1.0225,295.805298,0.7706061299900879
2020-07-08,1.065,298.06778,0.801504713493409
2020-07-09,1.0525,296.37088,0.7812016008317454
2020-07-10,1.085,299.396942,0.7686997592872747
2020-07-13,1.065,296.804474,0.7147007752190645
2020-07-14,1.02,300.650787,0.7122141292405202
2020-07-15,1.0475,303.412964,0.6996708409734145
2020-07-16,1.0425,302.413605,0.6886851318483038
2020-07-17,0.99,303.290405,0.6790096977192224
2020-07-20,0.9625,305.741425,0.6678078350655324
2020-07-21,1.0025,306.391968,0.622803229015324
2020-07-22,1.0275,308.135956,0.5558652772988364
2020-07-23,1.0275,304.459381,0.4673735149683442
2020-07-24,1.0075,302.498505,0.3777482607515736
2020-07-27,1.0025,304.704498,0.2730435630953699
2020-07-28,0.985,302.771851,0.1314960683425105
2020-07-29,1.015,306.495605,0.0161317873615289
2020-07-30,1.025,305.402069,-0.0686906999836917
2020-07-31,1.0025,307.815399,-0.1289312128520917
2020-08-03,1.0375,309.955414,-0.1973227004909167
2020-08-04,1.1075,311.152649,-0.2424333827247384
2020-08-05,1.1575,313.085175,-0.2720237770909651
2020-08-06,1.1075,315.178009,-0.3072528699852402
2020-08-07,1.04,315.404297,-0.3134817712667062
2020-08-10,1.0825,316.346985,-0.343973579750465
2020-08-11,1.0875,313.735657,-0.3487409331866484
2020-08-12,1.13,318.109894,-0.2916658832988114
2020-08-13,1.16,317.53479,-0.2258683489083526
2020-08-14,1.1875,317.544189,-0.1423551092748933
2020-08-17,1.1575,318.552948,-0.0872332924723171
2020-08-18,1.2025,319.241119,-0.0447746863752676
